id,rating,return_rate,location,sales
0001,3.5,0.0010500000000000002,7,1553
0002,7.5,0.01118,1,57670
0003,0.4,0.0089,2,58623
0004,3.3,0.0844,6,523476
0005,9.0,0.03812,4,157496
0006,2.5,0.05493000000000001,5,93993
0007,0.4,0.08237000000000001,5,990611
0008,10.7,0.09903,4,200682
0009,3.8,0.07967,5,413408
0010,7.4,0.023930000000000003,2,9508
0011,6.0,0.038220000000000004,7,99590
0012,8.0,0.05487,4,30296
0013,4.3,0.01153,6,13344
0014,6.8,0.09457,1,132574
0015,10.1,0.048490000000000005,3,100208
0016,3.3,0.00445,6,15997
0017,5.2,0.03654,1,56753
0018,9.0,0.09829,3,377968
0019,9.8,0.07922000000000001,5,329481
0020,10.5,0.02892,2,27854
0021,1.3,0.041780000000000005,3,118870
0022,6.6,0.02416,2,60793
0023,9.1,0.0085,5,6718
0024,0.4,0.027600000000000003,1,67266
0025,10.1,0.03658,6,81448
0026,4.0,0.03339,2,186787
0027,5.1,0.026660000000000003,1,5019
0028,4.1,0.054400000000000004,6,286176
0029,3.5,0.06735000000000001,3,74436
0030,10.1,0.01063,5,70141
0031,2.8,0.042460000000000005,7,108101
0032,2.3,0.00058,3,4589
0033,9.4,0.03399,4,90277
0034,8.2,0.0068200000000000005,5,6916
0035,8.5,0.047790000000000006,2,135542
0036,0.8,0.08713000000000001,3,148284
0037,9.0,0.07726000000000001,1,265220
0038,1.9,0.05056,5,41064
0039,2.5,0.09457,1,250860
0040,1.5,0.07944000000000001,7,157856
0041,10.6,0.07483000000000001,4,156507
0042,1.2,0.007,7,105744
0043,10.3,0.07160000000000001,4,41708
0044,8.9,0.07076,2,154843
0045,0.1,0.06562000000000001,6,167814
0046,3.5,0.07163,2,37296
0047,0.5,0.00808,3,3415
0048,6.7,0.041060000000000006,5,235748
0049,8.8,0.06330000000000001,3,143516
0050,2.1,0.029110000000000004,6,48665
0051,9.1,0.0019600000000000004,5,14762
0052,8.1,0.06312000000000001,7,241380
0053,2.0,0.058120000000000005,6,337218
0054,9.3,0.09763000000000001,3,186374
0055,3.0,0.04134,2,161903
0056,9.1,0.07364000000000001,3,167636
0057,1.4,0.007330000000000001,5,13165
0058,10.1,0.07427,6,391604
0059,2.0,0.061000000000000006,6,184515
0060,9.4,0.06126,1,82892
0061,9.1,0.09404000000000001,1,40082
0062,5.7,0.07100000000000001,4,40359
0063,9.9,0.06516000000000001,1,306101
0064,8.5,0.04555000000000001,3,42543
0065,2.9,0.05772000000000001,4,526622
0066,7.1,0.06003000000000001,2,75823
0067,6.0,0.01438,5,42651
0068,7.4,0.0021000000000000003,5,22343
0069,2.3,0.035890000000000005,2,139317
0070,3.8,0.00474,1,15341
0071,7.9,0.027600000000000003,1,30831
0072,2.2,0.056280000000000004,2,144171
0073,5.2,0.08637,5,152636
0074,5.5,0.06865,5,102745
0075,6.7,0.053470000000000004,1,359944
0076,8.1,0.05249,5,150014
0077,1.1,0.0029500000000000004,6,3038
0078,4.0,0.09743,7,262904
0079,1.2,0.041940000000000005,7,87760
0080,1.8,0.04374,3,35830
0081,9.6,0.04743000000000001,2,305894
