id,rating,return_rate,location,sales,revenue,margin
P0001,8.1,0.019010000000000003,4,86824,4297788.0,4297788.0
P0002,4.5,0.05501,2,28324,33966140.800000004,8491535.2
P0003,9.4,0.006049999999999996,1,74038,18472481.0,18472481.0
P0004,3.9,0.06103999999999999,7,71465,25684521.0,17123014.0
P0005,4.8,0.05207,5,59194,33107204.199999996,14188801.800000003
P0006,2.7,0.07307,6,41272,31750549.599999998,13607378.400000002
P0007,3.7,0.063,4,60477,21136711.5,21136711.5
P0008,5.6,0.04406000000000001,1,18060,24547152.0,6136787.999999999
P0009,6.9,0.031019999999999995,3,34182,35521934.4,8880483.599999998
P0010,2.4,0.0761,2,68807,24729235.799999997,16486157.200000001
P0011,3.4,0.06602,7,66102,32343708.599999998,13861589.400000002
P0012,4.5,0.055060000000000005,6,58319,36700146.699999996,15728634.300000003
P0013,5.0,0.050019999999999995,7,51080,35720244.0,15308676.000000002
P0014,4.2,0.05809,2,69159,20713120.5,20713120.5
P0015,2.3,0.07704,7,61612,25840072.799999997,17226715.200000003
P0016,4.6,0.05408,4,16627,22599418.400000002,5649854.6
P0017,9.6,0.0040000000000000036,5,12983,19723773.6,4930943.399999999
P0018,7.8,0.022000000000000002,3,67682,33116802.599999998,14192915.400000002
P0019,2.0,0.08003,6,19702,25202798.400000002,6300699.599999999
P0020,6.9,0.031059999999999994,7,27063,30425577.75,10141859.25
P0021,2.9,0.071,2,39806,33409175.799999997,14318218.200000001
P0022,6.9,0.031009999999999996,5,56467,31581993.099999998,13535139.900000002
P0023,5.3,0.047080000000000004,6,60742,33973000.599999994,14559857.400000002
P0024,7.2,0.028069999999999998,3,50406,27188996.4,18125997.6
P0025,6.1,0.03902,2,72628,14489286.0,14489286.0
P0026,2.2,0.07804,2,57977,27794173.799999997,18529449.200000003
P0027,1.5,0.0851,5,66072,13181364.0,13181364.0
P0028,5.6,0.044020000000000004,5,28533,32078225.25,10692741.75
P0029,4.9,0.05101,7,61967,22270939.799999997,14847293.200000001
P0030,2.6,0.07400000000000001,5,48938,36666796.5,12222265.5
P0031,2.9,0.07105,7,49071,33086121.75,11028707.25
P0032,1.8,0.08202999999999999,4,64531,27057848.299999997,11596220.700000003
P0033,5.8,0.04206000000000001,2,34585,35940732.0,8985182.999999998
P0034,5.0,0.05009,4,34550,35904360.0,8976089.999999998
P0035,9.0,0.010029999999999999,6,70033,34267146.9,14685920.100000003
P0036,6.6,0.0341,3,60765,24275617.5,24275617.5
P0037,9.7,0.003000000000000007,5,58265,43655051.25,14551683.75
P0038,4.7,0.053099999999999994,5,80504,16060548.0,16060548.0
P0039,2.6,0.07408000000000001,6,68991,20662804.5,20662804.5
P0040,8.6,0.014060000000000003,2,33194,34828804.5,11609601.5
P0041,1.8,0.08202,6,26751,28068486.75,9356162.25
P0042,4.5,0.055,1,41953,32274442.9,13831904.100000001
P0043,6.6,0.034010000000000006,3,31027,32555079.75,10851693.25
P0044,6.6,0.03406,7,29005,32608871.25,10869623.75
P0045,9.9,0.0010999999999999964,1,26051,33324439.200000003,8331109.799999999
P0046,3.4,0.06608,4,43517,26084089.8,17389393.2
P0047,8.2,0.018080000000000006,4,86832,20787580.799999997,13858387.200000001
P0048,5.6,0.0441,4,48856,34165000.8,14642143.200000003
P0049,4.8,0.052000000000000005,5,8588,13046889.6,3261722.3999999994
P0050,9.0,0.01004,3,56614,33934431.6,22622954.400000002
P0051,5.7,0.043039999999999995,7,62588,26243148.4,11247063.600000003
P0052,6.0,0.040010000000000004,4,13499,19427760.8,4856940.199999999
